0800015;CN CTy Đầu Tư Xây Dựng Quyết Tiến;1000139243-003;Số 266 Nguyễn Văn Lượng , P16, Q. Gò Vấp, TP - HCM;060005944875;NH Sài Gòn Thương Tín CN Gò Vấp
0800016;Cửa Hàng Lưới Rào;0302022962;272 Trường Sơn Tam Bình Thủ Đức;;
0800017;Công Ty CP TM An Thành Phát;0306707607;178 Lý Thường Kiệt, P 14 Q10 TP -HCM;;
0800018;Công Ty TNHH Hoà Phát;0301968108;450-452 đường số 7 Phường Tân Taọ Q, Bình Tân TP - HCM;;
0800019;Công Ty CP Đầu Tư Xây Dựng Trung Hà;0304340015;Số 14 Huỳnh Đình Hai, P 24 , Quận Bình Thạnh TP - HCM;;
0800020;Hợp Tác Xã Vận Tải & Du Lịch Mỹ Tường;0302735836;144/1KP, P Thanh Xuân Q12, TP - HCM;;
0800021;CTy CP DV - VT Trường Thọ;0305898282;Khu Phố 7 P. Trường Thọ, Q, Thủ đức TP - HCM;;
0800022;Cty TNHH SX - VT- TM Đại Trường Thịnh;0302948062;265C/4 Quốc lộ 1A, KP4 , P. Tam Bình Q, Thủ Đức TP - HCM;;
0800023;Công Ty Cổ Phần Kim Tín Thép;0308611643;69 Nguyễn Thi - Phường 13 - Quận 5 TP - HCM;;
0800024;Công Ty TNHH Xây Lắp 11;0302384715;958/26/13 Lạc Long Quân, P8, Q. Tân Bình,TPHCM;;
0800025;Dư Thị Thuận;;93/103 K, Lê đức Thọ P17 -Quận Gò Vấp TP - HCM;;
0800026;Cty TNHH VT - DV GNhận XNK Vạn Lạc Thành;0305398219;74 đường 43, KP4, P Tân Quy, Q7 TP - HCM;;
0800027;XN Vận Tải & KDTH;0300607067003;30 Kha  Vạn Cân, P, Hiệp Bình Chánh Thủ đức TP - HCM;;
0800029;CTy CP Vật Tư Hậu Giang CN TP - HCM;1800506679-007;166 Bình Lợi, P13. Q, Bình Thạnh TP - HCM;;
0800030;Công Ty CP Thép Tân Thuận;0304843770;136A, Bùi Văn Ba, P, Tân Thuận Đông Q7 ,TP - HCM;;
0800031;CTy TNHH ĐầuTư Xây Dựng Sáu Hai Tám;0304397702;Tầng 3 Tòa Nhà 154, Đường Nhạc Sơn, P. Kim Tân, TP. Lào Cai, Tỉnh Lào Cai;10201000173998;NHTMCP Công Thương VN CN Lào Cai
0800032;CTy Cổ Phần Thương Mại Thép An Khánh;0307974764;359 Lê Văn Sỹ, Phường 13. Quận 3 TP - HCM;;
0800033;Công Ty TNHH Thép Kỳ Đồng;0302319201;Lô C1/I Đường số 2E, KCN Vĩnh Lộc, Bình Chánh - TP HCM;;
0800034;CN CTy TNHH SX TM Thép Việt Thành;0301692964;D7 /15 Quốc lộ 1A , Tân Túc, Huyện Bình Chánh TP - TPHCM;;
0800035;Công ty TNHH Đại Long Minh;0305649896;702/3F Sư Văn Hạnh P12, Quận 10, TP - HCM;;
0800036;Công Ty CP Đầu Tư XDTM Cơ Hội Mới;0303680837;Số 4-6 Nguyễn Thái Học , P, Cầu Ông Lãnh Q1, TP - HCM;;
0800037;CTy CP XD Vận Tải  ĐT  KD Nhà Hải Đăng;0302756554;30 Phạm Ngũ Lão - P3 , Quận Gò Vấp TP - HCM;;
